大学,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
斯坦福大学,74.7,10053 ,0.6084 ,2.17,2578687,71.36,14.37 ,3.79 ,126483,0.51 ,1.94 ,21583 ,17,11,7,2,2
哈佛大学,100,26190 ,0.6410 ,2.17,7183097,70.76,19.40 ,4.38 ,297054,0.37 ,2.47 ,55747 ,35,13,7,0,2
麻省理工学院,69.2,7040 ,0.5895 ,2.4,2409068,77.1,67.77 ,8.57 ,219257,0.44 ,6.24 ,53183 ,38,7,6,1,8
剑桥大学,69.6,9738 ,0.5420 ,1.78,2195719,70.65,34.85 ,6.78 ,200586,0.44 ,4.98 ,57586 ,32,8,6,2,6
牛津大学,58.9,10796 ,0.7936 ,1.9,2348403,68.7,32.17 ,5.59 ,225592,0.42 ,4.85 ,65325 ,34,11,3,2,6
加州理工学院,57.8,3908 ,0.2270 ,2.1,1252832,80.16,67.06 ,9.42 ,114090,0.47 ,6.69 ,26986 ,25,3,2,0,17
普林斯顿大学,62,3606 ,0.2965 ,2.31,956663,75.45,55.33 ,7.68 ,126483,0.50 ,5.43 ,21938 ,20,1,5,1,15
芝加哥大学,54.2,7268 ,0.4199 ,2.02,1672865,70.74,63.37 ,8.19 ,203241,0.37 ,5.54 ,45799 ,35,3,5,2,12
加州大学伯克利分校,70.1,8393 ,0.4211 ,2.11,2304313,76.1,38.46 ,5.56 ,160265,0.50 ,3.91 ,37611 ,30,10,6,1,5
耶鲁大学,52.8,7689 ,0.5802 ,1.96,1773216,69.73,39.34 ,5.89 ,163234,0.50 ,3.69 ,34138 ,29,5,4,6,7
哥伦比亚大学,56.7,9111 ,0.5203 ,1.94,2060399,69.6,32.15 ,5.31 ,171081,0.44 ,3.10 ,33347 ,28,8,2,2,10
伦敦帝国学院,41.6,8740 ,0.6382 ,1.69,1846132,72.57,31.49 ,6.02 ,191171,0.40 ,5.22 ,55226 ,30,7,8,2,5
伦敦大学学院,45.3,11775 ,0.7818 ,1.67,2246623,68.82,26.19 ,5.08 ,225761,0.33 ,4.08 ,60387 ,35,8,0,2,12
约翰霍普金斯大学,46,11235 ,0.6331 ,1.89,2630707,70.15,22.22 ,4.74 ,193274,0.35 ,2.39 ,32480 ,25,8,1,2,11
苏黎世联邦理工学院,43.8,5135 ,0.8256 ,1.77,1150627,81.25,34.75 ,5.07 ,97816,0.32 ,4.75 ,30505 ,24,4,8,1,9
宾夕法尼亚大学,44.5,10210 ,0.4462 ,1.92,2218260,68.14,29.94 ,4.97 ,178378,0.44 ,2.70 ,32252 ,25,9,2,1,10
